"identifier","date","borough","block","lot","bldg_number_start","bldg_number_end","side_of_street","street_name","address","condition","coordinates","is_outtake","deleted"
nynyma_rec0040_4_04918_0013.jpg,"1939-1941",Queens,4918,13.00,"2716","2716",true,"167 Street","2716 167 Street",,,false,true
nynyma_rec0040_4_05242_0059a.jpg,"1939-1941",Queens,5242,59.00,"3334","3334",true,"158 Street","3334 158 Street",,,false,true
nynyma_rec0040_4_06250_0026.jpg,"1939-1941",Queens,6250,26.00,"21715","21715",false,"39 Avenue","21715 39 Avenue",,,false,true
nynyma_rec0040_4_10862_0029_w4.jpg,"1939-1941",Queens,10862,29.00,"19516","19516",true,"100 Avenue","19516 100 Avenue",,,false,true
nynyma_rec0040_4_10862_0033_w4.jpg,"1939-1941",Queens,10862,33.00,"10014","10014",true,"196 Street","10014 196 Street",,,false,true
nynyma_rec0040_4_10863_0049_w4.jpg,"1939-1941",Queens,10863,49.00,"10037","10037",false,"196 Street","10037 196 Street",,,false,true
nynyma_rec0040_4_10863_0009_w4.jpg,"1939-1941",Queens,10863,9.00,"10002","10002",true,"197 Street","10002 197 Street",,,false,true
nynyma_rec0040_4_10864_0057_w4.jpg,"1939-1941",Queens,10864,57.00,"10025","10025",false,"197 Street","10025 197 Street",,,false,true
nynyma_rec0040_4_10869_0054_w4.jpg,"1939-1941",Queens,10869,54.00,"10029","10029",false,"202 Street","10029 202 Street",,,false,true
nynyma_rec0040_4_10868_0048_w4.jpg,"1939-1941",Queens,10868,48.00,"10039","10039",false,"201 Street","10039 201 Street",,,false,true
nynyma_rec0040_4_10869_0058_w4.jpg,"1939-1941",Queens,10869,58.00,"10021","10021",false,"202 Street","10021 202 Street",,,false,true
nynyma_rec0040_4_10866_0048_w4.jpg,"1939-1941",Queens,10866,48.00,"10037","10037",false,"199 Street","10037 199 Street",,,false,true
nynyma_rec0040_4_10869_0030_w4.jpg,"1939-1941",Queens,10869,30.00,"10046","10046",true,"203 Street","10046 203 Street",,,false,true
nynyma_rec0040_4_10869_0062_w4.jpg,"1939-1941",Queens,10869,62.00,"10011","10011",false,"202 Street","10011 202 Street",,,false,true
nynyma_rec0040_4_10870_0054a_w4.jpg,"1939-1941",Queens,10870,54.00,"10027","10027",false,"203 Street","10027 203 Street",,,false,true
nynyma_rec0040_4_10870_0056_w4.jpg,"1939-1941",Queens,10870,56.00,"10023","10023",false,"203 Street","10023 203 Street",,,false,true
nynyma_rec0040_4_10870_0033_w4.jpg,"1939-1941",Queens,10870,33.00,"10056","10056",true,"204 Street","10056 204 Street",,,false,true
