"identifier","date","borough","block","lot","bldg_number_start","bldg_number_end","side_of_street","street_name","address","condition","coordinates","is_outtake"
nynyma_rec0040_3_07033_0006�,"1939-1941",Brooklyn,7033,6.00,,,,Sea View Avenue,Sea View Avenue,,,false
nynyma_rec0040_3_07033_0007�,"1939-1941",Brooklyn,7033,7.00,,,,Sea View Avenue,Sea View Avenue,,,false
nynyma_rec0040_3_07055_0074�,"1939-1941",Brooklyn,7055,74.00,"2929","2929",false,West 25 Street,"2929 West 25 Street",,,false
nynyma_rec0040_3_07056_0047�,"1939-1941",Brooklyn,7056,47.00,"2321","2321",false,Surf Avenue,"2321 Surf Avenue",,,false
nynyma_rec0040_3_07063_0028�,"1939-1941",Brooklyn,7063,28.00,,,,Surf Avenue,Surf Avenue,,,false
nynyma_rec0040_3_07064_0017�,"1939-1941",Brooklyn,7064,17.00,,,,Stillwell Avenue,Stillwell Avenue,,,false
nynyma_rec0040_3_07070_0038�,"1939-1941",Brooklyn,7070,38.00,,,,West 24 Street,West 24 Street,,,false
nynyma_rec0040_3_07070_0039�,"1939-1941",Brooklyn,7070,39.00,,,,West 24 Street,West 24 Street,,,false
nynyma_rec0040_3_07077_0069�,"1939-1941",Brooklyn,7077,69.00,"1947","1947",false,West 12 Street,"1947 West 12 Street",,,false
nynyma_rec0040_3_00708_0025�,"1939-1941",Brooklyn,708,25.00,,,,"39 Street","39 Street",,,false
nynyma_rec0040_3_00710_0123�,"1939-1941",Brooklyn,710,123.00,,,,,,,,false
nynyma_rec0040_3_07102_0022�,"1939-1941",Brooklyn,7102,22.00,"244","244",true,Lake Street,"244 Lake Street",,,false
nynyma_rec0040_3_07104_0138�,"1939-1941",Brooklyn,7104,138.00,"1930","1930",true,East 1 Street,"1930 East 1 Street",,,false
nynyma_rec0040_3_07118_0028�,"1939-1941",Brooklyn,7118,28.00,,,,Lake Place,Lake Place,,,false
nynyma_rec0040_3_07117_0008�,"1939-1941",Brooklyn,7117,8.00,,,,West 9 Street,West 9 Street,,,false
nynyma_rec0040_3_07127_0154�,"1939-1941",Brooklyn,7127,154.00,"432","432",true,Avenue U,"432 Avenue U",,,false
nynyma_rec0040_3_00713_0186�,"1939-1941",Brooklyn,713,186.00,,,,,,,,false
nynyma_rec0040_3_07130_0007�,"1939-1941",Brooklyn,7130,7.00,"430","430",true,Avenue U,"430 Avenue U",,,false
nynyma_rec0040_3_07148_0050�,"1939-1941",Brooklyn,7148,50.00,"471","471",false,Sicklen Street,"471 Sicklen Street",,,false
nynyma_rec0040_3_00716_0015�,"1939-1941",Brooklyn,716,15.00,,,,,,,,false
nynyma_rec0040_3_07160_0181�,"1939-1941",Brooklyn,7160,181.00,,,,,,,,false
nynyma_rec0040_3_07172_0038�,"1939-1941",Brooklyn,7172,38.00,,,,,,,,false
nynyma_rec0040_3_07184_0088�,"1939-1941",Brooklyn,7184,88.00,"2624","2624",true,Coney Island Avenue,"2624 Coney Island Avenue",,,false
nynyma_rec0040_3_00719_0053�,"1939-1941",Brooklyn,719,53.00,,,,,,,,false
nynyma_rec0040_3_00719_0073�,"1939-1941",Brooklyn,719,74.00,,,,,,,,false
nynyma_rec0040_3_00720_0034�,"1939-1941",Brooklyn,720,34.00,,,,,,,,false
nynyma_rec0040_3_00723_0058�,"1939-1941",Brooklyn,723,58.00,,,,,,,,false
nynyma_rec0040_3_07247_1354�,"1939-1941",Brooklyn,7247,1354.00,,,,,,,,false
nynyma_rec0040_3_07247_1355�,"1939-1941",Brooklyn,7247,1355.00,,,,,,,,false
nynyma_rec0040_3_07247_0087�,"1939-1941",Brooklyn,7247,87.00,,,,Stillwell Avenue,Stillwell Avenue,,,false
nynyma_rec0040_3_00726_0077�,"1939-1941",Brooklyn,726,77.00,,,,"43 Street","43 Street",,,false
nynyma_rec0040_3_00726_0076�,"1939-1941",Brooklyn,726,76.00,,,,"43 Street","43 Street",,,false
nynyma_rec0040_3_07268_0331�,"1939-1941",Brooklyn,7268,331.00,,,,Surf Avenue,Surf Avenue,,,false
nynyma_rec0040_3_07268_0333�,"1939-1941",Brooklyn,7268,333.00,,,,Surf Avenue,Surf Avenue,,,false
nynyma_rec0040_3_07268_0338�,"1939-1941",Brooklyn,7268,338.00,,,,Surf Avenue,Surf Avenue,,,false
nynyma_rec0040_3_07272_0028�,"1939-1941",Brooklyn,7272,28.00,,,,Neptune Avenue,Neptune Avenue,,,false
nynyma_rec0040_3_07279_0165�,"1939-1941",Brooklyn,7279,165.00,,,,Kister Place,Kister Place,,,false
nynyma_rec0040_3_07281_0172�,"1939-1941",Brooklyn,7281,172.00,"3076","3076",true,West 1 Street,"3076 West 1 Street",,,false
nynyma_rec0040_3_07281_0174�,"1939-1941",Brooklyn,7281,174.00,"3082","3082",true,West 1 Street,"3082 West 1 Street",,,false
nynyma_rec0040_3_07281_0150�,"1939-1941",Brooklyn,7281,150.00,"3029","3031",false,West 2 Street,"3029-3031 West 2 Street",,,false
nynyma_rec0040_3_07281_0170�,"1939-1941",Brooklyn,7281,170.00,"3070","3070",true,West 1 Street,"3070 West 1 Street",,,false
nynyma_rec0040_3_07284_1104�,"1939-1941",Brooklyn,7284,1104.00,"3030","3030",true,Lakeland Place,"3030 Lakeland Place",,,false
nynyma_rec0040_3_07284_0111�,"1939-1941",Brooklyn,7284,111.00,,,,Bough Place,Bough Place,,,false
nynyma_rec0040_3_07284_1255�,"1939-1941",Brooklyn,7284,1255.00,"3048","3048",true,East 4 Street,"3048 East 4 Street",,,false
nynyma_rec0040_3_07284_2250�,"1939-1941",Brooklyn,7284,2250.00,,,,East 6 Street,East 6 Street,,,false
nynyma_rec0040_3_07284_2248�,"1939-1941",Brooklyn,7284,2248.00,,,,East 6 Street,East 6 Street,,,false
nynyma_rec0040_3_07284_2247�,"1939-1941",Brooklyn,7284,2247.00,,,,East 6 Street,East 6 Street,,,false
nynyma_rec0040_3_07284_2249�,"1939-1941",Brooklyn,7284,2249.00,,,,East 6 Street,East 6 Street,,,false
nynyma_rec0040_3_07284_2517�,"1939-1941",Brooklyn,7284,2517.00,,,,,,,,false
nynyma_rec0040_3_07284_2251�,"1939-1941",Brooklyn,7284,2251.00,,,,East 6 Street,East 6 Street,,,false
nynyma_rec0040_3_07284_2355�,"1939-1941",Brooklyn,7284,2355.00,"622","622",true,Beach Avenue,"622 Beach Avenue",,,false
nynyma_rec0040_3_07284_0436�,"1939-1941",Brooklyn,7284,436.00,,,,Pine Court,Pine Court,,,false
nynyma_rec0040_3_07284_0651�,"1939-1941",Brooklyn,7284,651.00,"2917","2917",false,East 6 Street,"2917 East 6 Street",,,false
nynyma_rec0040_3_07284_0996�,"1939-1941",Brooklyn,7284,996.00,"3047","3047",false,East 2 Street,"3047 East 2 Street",,,false
nynyma_rec0040_3_07284_0094�,"1939-1941",Brooklyn,7284,94.00,,,,East 2 Street,East 2 Street,,,false
nynyma_rec0040_3_07301_0079�,"1939-1941",Brooklyn,7301,79.00,"1951","1951",false,Elmore Place,"1951 Elmore Place",,,false
